DATA;ID CONTRATO;CONTRATO;ID OPERADORA;OPERADORA;COD EQUIPAMENTO;EQUIPAMENTO;FROTA;QTD;%
43862;COT1;TRANSFACIL;OP27;TRANSFÁCIL;EQ28;ATM;70;43;61%
43862;COT2;TRANSCARD;OP61;SETPS (TRANSCARD);EQ28;ATM;53;17;32%
43862;COT6;METRO-BAHIA;OP63;METRÔ BAHIA (CCR);EQ28;ATM;49;16;33%
43862;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;37;123%
43891;COT1;TRANSFACIL;OP27;TRANSFÁCIL;EQ28;ATM;70;31;44%
43891;COT2;TRANSCARD;OP61;SETPS (TRANSCARD);EQ28;ATM;53;28;53%
43891;COT6;METRO-BAHIA;OP63;METRÔ BAHIA (CCR);EQ28;ATM;49;11;22%
43891;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;30;100%
43922;COT1;TRANSFACIL;OP27;TRANSFÁCIL;EQ28;ATM;70;13;19%
43922;COT2;TRANSCARD;OP61;SETPS (TRANSCARD);EQ28;ATM;53;28;53%
43922;COT6;METRO-BAHIA;OP63;METRÔ BAHIA (CCR);EQ28;ATM;47;11;23%
43922;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;13;43%
43952;COT1;TRANSFACIL;OP27;TRANSFÁCIL;EQ28;ATM;70;19;27%
43952;COT2;TRANSCARD;OP61;SETPS (TRANSCARD);EQ28;ATM;51;10;20%
43952;COT6;METRO-BAHIA;OP63;METRÔ BAHIA (CCR);EQ28;ATM;47;4;9%
43952;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;23;77%
43983;COT1;TRANSFACIL;OP27;TRANSFÁCIL;EQ28;ATM;70;34;49%
43983;COT2;TRANSCARD;OP61;SETPS (TRANSCARD);EQ28;ATM;46;6;13%
43983;COT6;METRO-BAHIA;OP63;METRÔ BAHIA (CCR);EQ28;ATM;49;4;8%
43983;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;14;47%
44013;COT1;TRANSFACIL;OP27;TRANSFÁCIL;EQ28;ATM;70;62;89%
44013;COT2;TRANSCARD;OP61;SETPS (TRANSCARD);EQ28;ATM;48;6;13%
44013;COT6;METRO-BAHIA;OP63;METRÔ BAHIA (CCR);EQ28;ATM;49;13;27%
44013;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;28;93%
44044;COT1;TRANSFACIL;OP27;TRANSFÁCIL;EQ28;ATM;70;50;71%
44044;COT2;TRANSCARD;OP61;SETPS (TRANSCARD);EQ28;ATM;46;20;43%
44044;COT6;METRO-BAHIA;OP63;METRÔ BAHIA (CCR);EQ28;ATM;49;15;31%
