DATA;ID CONTRATO;CONTRATO;ID OPERADORA;OPERADORA;COD EQUIPAMENTO;EQUIPAMENTO;FROTA;QTD;%
46113;COT10;Metropolitano-Bahia;OP64;METROPOLITANO ;EQ28;ATM;1;0;0%
46113;COT34;BRT SSA;OP61;Setps (Transcard);EQ28;ATM;22;1;5%
46113;COT2;Transcard;OP61;Setps (Transcard);EQ28;ATM;23;11;48%
46113;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;8;27%
46113;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;69;11;16%
46113;COT1;Transfacil;OP27;Transfácil;EQ28;ATM;70;27;39%
46113;COT2;Transcard;OP56;CONSORCIO OTTRANS ;EQ10;CONNECTION CCIT 4.0;1293;70;5%
46113;COT36;CAMAÇARI SSA;OP140;ATLANTICO;EQ10;CONNECTION CCIT 4.0;55;2;4%
46113;COT36;CAMAÇARI SSA;OP141;STT/VAICARD;EQ10;CONNECTION CCIT 4.0;2;0;0%
46113;COT33;FLORIANÓPOLIS;OP133;SANTA TEREZINHA;EQ10;CONNECTION CCIT 4.0;16;0;0%
46113;COT33;FLORIANÓPOLIS;OP133;ESTRELA;EQ10;CONNECTION CCIT 4.0;92;1;1%
46113;COT24;GVBUS;OP112;VIAÇÃO SANREMO;EQ10;CONNECTION CCIT 4.0;75;1;1%
46113;COT24;GVBUS;OP114;VIAÇÃO PRAIA SOL LTDA.;EQ10;CONNECTION CCIT 4.0;182;1;1%
46113;COT24;GVBUS;OP115;VEREDA TRANSPORTE LTDA.;EQ10;CONNECTION CCIT 4.0;108;2;2%
46113;COT6;METRO-BAHIA;OP63;METRÔ BAHIA (CCR);EQ10;CONNECTION CCIT 4.0;330;0;0%
46113;COT4;SETUT;OP143;TRANS. EFICIENTE;EQ10;CONNECTION CCIT 4.0;3;0;0%
46113;COT4;SETUT;OP142;SETUT SEB CENTRAL;EQ10;CONNECTION CCIT 4.0;4;0;0%
46113;COT4;Setut;OP75;SANTA CRUZ;EQ10;CONNECTION CCIT 4.0;7;0;0%
46113;COT4;Setut;OP80;THEREZINA;EQ10;CONNECTION CCIT 4.0;9;0;0%
46113;COT4;Setut;OP27;TRANSFÁCIL;EQ10;CONNECTION CCIT 4.0;12;0;0%
46113;COT4;Setut;OP77;SINTRAPI;EQ10;CONNECTION CCIT 4.0;20;0;0%
46113;COT4;Setut;OP76;SÃO CRISTÓVÃO;EQ10;CONNECTION CCIT 4.0;20;0;0%
46113;COT4;Setut;OP80;EMTRACOL THEREZIN;EQ10;CONNECTION CCIT 4.0;25;1;4%
46113;COT4;Setut;OP74;SANTANA;EQ10;CONNECTION CCIT 4.0;28;0;0%
46113;COT4;Setut;OP69;CIDADE VERDE;EQ10;CONNECTION CCIT 4.0;29;0;0%
46113;COT4;Setut;OP78;TAGUATUR/TRANSFÁCIL;EQ10;CONNECTION CCIT 4.0;35;1;3%
46113;COT4;Setut;OP72;EMVIPI;EQ10;CONNECTION CCIT 4.0;41;0;0%
46113;COT1;Transfacil;OP16;Jardins / Ana Lucia;EQ10;CONNECTION CCIT 4.0;131;5;4%
46113;COT1;Transfacil;OP44;BH Leste Transporte;EQ10;CONNECTION CCIT 4.0;116;4;3%
46113;COT1;Transfacil;OP40;Viação Progresso Ltda;EQ10;CONNECTION CCIT 4.0;93;3;3%
46113;COT1;Transfacil;OP45;Viação Zurick Ltda;EQ10;CONNECTION CCIT 4.0;95;3;3%
46113;COT1;Transfacil;OP19;S&M Goiânia Transportes Ltda;EQ10;CONNECTION CCIT 4.0;240;3;1%
46113;COT1;Transfacil;OP14;Milênio Transportes Ltda;EQ10;CONNECTION CCIT 4.0;100;2;2%
46113;COT1;Transfacil;OP37;Viação Globo Ltda;EQ10;CONNECTION CCIT 4.0;106;2;2%
46113;COT1;Transfacil;OP18;Rodopass Transp. Colet. De Passag. Ltda;EQ10;CONNECTION CCIT 4.0;153;2;1%
46113;COT1;Transfacil;OP6;Cidade BH Transporte Ltda;EQ10;CONNECTION CCIT 4.0;87;1;1%
46113;COT1;Transfacil;OP25;Sidon Tirol Ltda;EQ10;CONNECTION CCIT 4.0;95;1;1%
46113;COT1;Transfacil;OP38;Viação Jardins Ltda;EQ10;CONNECTION CCIT 4.0;99;1;1%
