DATA;ID_CONTRATO;CONTRATO;ID_EQUIPAMENTO;EQUIPAMENTO;ID_OPERADORA;OPERADORA;ID_SERVICO_EXECUTADO;SERVIC_EXECUTADO;QTD_SERVICO
01/06/2012;COT22;Taguatur;EQ35;CCIT 4.0 FRONTAL H2 COM BATERIA;OP82;TAGUATUR;DF41;Envio para manutená∆o central-CTG;12
01/01/2020;COT20;ROSA TURISMO;EQ36;CCIT 4.0 FRONTAL H1 COM BATERIA;OP66;ROSA TURISMO;DF41;Envio para manutená∆o central-CTG;1
01/01/2020;COT20;ROSA TURISMO;EQ36;CCIT 4.0 FRONTAL H1 COM BATERIA;OP66;ROSA TURISMO;DF117;Restauraá∆o de m¢dulos via PC e/ou SdCard;4
01/01/2020;COT20;ROSA TURISMO;EQ36;CCIT 4.0 FRONTAL H1 COM BATERIA;OP66;ROSA TURISMO;DF132;Subst. Da Bateria de Lithium;5
01/01/2020;COT20;ROSA TURISMO;EQ36;CCIT 4.0 FRONTAL H1 COM BATERIA;OP66;ROSA TURISMO;DF59;Intervená‰es com Solda;2
01/01/2020;COT1;Transfacil;EQ14;DMX200 MOD H3.1;;;DF35;Defeito n∆o encontrado / testes e liberaá∆o;1
01/01/2020;COT1;Transfacil;EQ14;DMX200 MOD H3.1;;;DF37;Defeito n∆o encontrado e subst. FW/SW;12
01/01/2020;COT1;Transfacil;EQ14;DMX200 MOD H3.1;;;DF41;Envio para manutená∆o central-CTG;52
01/01/2020;COT1;Transfacil;EQ14;DMX200 MOD H3.1;;;DF88;Reparo com formataá∆o e reinst. FW/SW;202
01/01/2020;COT1;Transfacil;EQ14;DMX200 MOD H3.1;;;DF108;Ressolda no circuito da placa-m∆e;3
01/01/2020;COT1;Transfacil;EQ14;DMX200 MOD H3.1;;;DF135;Subst. Da Carcaáa frontal;1
01/01/2020;COT1;Transfacil;EQ14;DMX200 MOD H3.1;;;DF169;Subst. De Componente eletrìnico;11
01/01/2020;COT1;Transfacil;EQ14;DMX200 MOD H3.1;;;DF170;Subst. De Gorila Glass;1
01/01/2020;COT9;SINTRAM SEM DMX200;EQ16;PDM03;OP51;CONS‡RCIO ‡TIMO DE BILHETAGEM ELETR‚NICA ;DF35;Defeito n∆o encontrado / testes e liberaá∆o;24
01/01/2020;COT9;SINTRAM SEM DMX200;EQ16;PDM03;OP51;CONS‡RCIO ‡TIMO DE BILHETAGEM ELETR‚NICA ;DF37;Defeito n∆o encontrado e subst. FW/SW;1
