CÓDIGO OCORRÊNCIA;DESCRIÇÃO DEFEITO RECLAMADO
DE-01;"APRESENTANDO MENSAGEM ""00 DEFAULT"""
DE-02;NÃO ATUALIZA FW
DE-03;NÃO ATUALIZA SW
DE-04;"APRESENTANDO MENSAGEM ""EXECUTANDO FW"""
DE-05;NÃO ATUALIZA LISTA
DE-06;NÃO INICIALIZA SISTEMA OPERACIONAL (SSH)
DE-07;VERSÃO DESATUALIZADA
DE-08;FW CORROMPIDO
DE-09;NÃO COMUNICA COM SUPERVISOR
DE-10;NÃO COMUNICA VIA CABO
DE-11;NÃO COMUNICA VIA PEN-DRIVE
DE-12;NÃO INVERTE O FLUXO PARA ENTRADA
DE-13;NÃO COMUNICA RS485
DE-14;NÃO COMUNICA RS232
DE-15;NÃO COMUNICA WI-FI
DE-16;NÃO COMUNICA COM A UPEX
DE-17;NÃO REALIZA RASTREAMENTO
DE-18;NÃO ATUALIZA DATA E HORA
DE-19;"APRESENTANDO MENSAGEM ""NO FW"""
DE-20;"APRESENTANDO MENSAGEM ""EXCEPTION GERAL"""
DE-21;"APRESENTANDO MESAGEM ""SUPER AQUECIMENTO"""
DE-22;"APRESENTANDO MENSAGEM ""MAINTENANCE PAROU"""
DE-23;NÃO ACEITA RESETAR
DE-24;NÃO REALIZA FECHAMENTO DE LINHA
DE-25;NÃO REALIZA ABERTURA DE LINHA
DE-26;NÃO REALIZA ENTRADA DE MOTORISTA
DE-27;NÃO LÊ CARTÃO CLESS
DE-28;NÃO LÊ CARTÃO COM CONTATO
DE-29;NÃO GERA IMAGEM
DE-30;NÃO REALIZA GRAVAÇÃO DE VIDEO
DE-31;SOLICITAÇÃO DE MODIFICAÇÃO
DE-32;FORMATANDO
DE-33;NÃO RECONHECE BOTOEIRA
DE-34;NÃO RECONHECE CONNECTIOS
DE-35;NÃO LIBERA ENTRADA
DE-36;NÃO REALIZA VENDA
DE-37;TRAVANDO EM VIAGEM ABERTA
DE-38;TRAVANDO EM LOGOMARCA TACOM
DE-39;SISTEMA ANDROID SOBREPOSTO
DE-40;"APRESENTANDO MENSAGEM ""SETUP PAROU"""
DE-41;NÃO CATRACA
DE-42;NÃO CONFIGURA CATRACA
DE-43;"APRESENTANDO MENSAGEM ""VALOR ESTENDIDO"""
DE-44;NÃO APRESENTA MENU
DE-45;REGISTRANDO PASSAGEM PARA MAIS
DE-46;REGISTRANDO PASSAGEM PARA MENOS
DE-47;LIBERANDO CATRACA SEM COMANDO
DE-48;APLICATIVOS DESATUALIZADOS
DE-49;"APRESENTANDO MENSAGEM “FALHA PLAYSTORE"""
DE-50;ERRO AO PROCESSAR LOG´S
DE-51;EQUIPAMENTO APRESENTANDO DIFERENÇA NO ACERTO
DE-52;APRESENTANDO ERRO DE MEMÓRIA
DE-53;EQUIPAMENTO DEMORANDO PARA PROCESSAR
DE-54;BARRA ANDROID NÃO DESAPARECE
DE-55;NÃO GERA ARQUIVO DE CONTINGÊNCIA
DE-56;ADESIVO DA ANTENA CLESS DANIFICADO
DE-57;CABO DA ANTENA CLESS DANIFICADO
DE-58;ADESIVO DANIFICADO
DE-59;CABO FLAT DANIFICADO
DE-60;CALIBRAÇÃO SGQ
DE-61;CÂMERA COM MANCHA PRETA
DE-62;CÂMERA SEM FOCO
DE-63;CAMPAINHA NÃO TOCA
DE-64;CAMPAINHA TOCANDO DIRETO
DE-65;CARACTERES ESTRANHOS
DE-66;CARCAÇA SUPERIOR DANIFICADA
DE-67;CARCAÇA INFERIOR DANIFICADA
DE-68;BATERIA DESCARREGADA
DE-69;BATERIA QUEIMADA
DE-70;BATERIA ESQUENTANDO
DE-71;SEM CARTÃO DE BOOT
DE-72;CARTÃO BLOQUEADO
DE-73;CARTÃO QUEBRADO
DE-74;CARTÃO QUEIMADO
DE-75;CARTÃO SD QUEIMADO
DE-76;CARTÃO TRAVADO POR ERRO DE SENHA
DE-77;"APRESENTANDO MENSAGEM ""CARTÃO INDISPONÍVEL"""
DE-78;"APRESENTANDO MENSAGEM ""CARTÃO INEXISTENTE"""
DE-79;"APRESENTANDO MENSAGEM ""CARTÃO INVÁLIDO"""
DE-80;EQUIPAMENTO CHAVEANDO RELÉ DIRETO
DE-81;CIRCUITO DE FONTE COM RUÍDO
DE-82;"APRESENTANDO MENSAGEM ""CITCATRACA PAROU"""
DE-83;COMPONENTES INTERNOS SOLTOS
DE-84;COMPONENTE OXIDADO
DE-85;CONECTOR CIRCULAR DANIFICADO
DE-86;CONECTOR RJ11 DANIFICADO
DE-87;CONECTOR SMA DANIFICADO
DE-88;CONECTOR BLOCK DANIFICADO
DE-89;CONECTOR BNC DANIFICADO
DE-90;CONECTOR DB15 DANIFICADO
DE-91;CONECTOR DB25 DANIFICADO
DE-92;CONECTOR DB9 DANIFICADO
DE-93;CONECTOR JACK P4 DANIFICADO
DE-94;CONECTOR USB DANIFICADO
DE-95;CONECTOR HDMI DANIFICADO
DE-96;CONECTOR VGA DANIFICADO
DE-97;CONECTOR DE REDE DANIFICADO
DE-98;CONECTOR DA PLACA CONNECTIONS DANIFICADO
DE-99;CONECTOR DA ALIMENTAÇÃO UPEX VH200 DANIFICADO
DE-100;COOLER DANIFICADO
DE-101;DISSIPADOR SEM PASTA TÉRMICA
DE-102;EQUIPAMENTO CARBONIZADO
DE-103;NÃO ENCONTRADO DEFEITO
DE-104;DISPLAY SEM LUZ DE FUNDO
DE-105;COMPONENTE QUEIMADO
DE-106;EQUIPAMENTO EM CURTO
DE-107;EQUIPAMENTO ESQUENTANDO
DE-108;EQUIPAMENTO QUEBRADO
DE-109;NÃO IMPRIME
DE-110;EQUIPAMENTO FALTANDO COMPONENTE
DE-111;FONTE DA UPEX DANIFICADA
DE-112;FUNCIONAMENTO INTERMITENTE
DE-113;FUSÍVEL QUEIMADO
DE-114;HD CORROMPIDO
DE-115;HD QUEIMADO
DE-116;EQUIPAMENTO VIOLADO
DE-117;LEITOR DE CARTÃO DANFICADO
DE-118;LEITORA DESALINHADA
DE-119;LUZ VERDE ACESA DIRETO
DE-120;LUZ VERMELHA ACESA DIRETO
DE-121;LUZ VERDE E VERMELHA ACESA DIRETO
DE-122;LUZ VERDE NÃO ACENDE
DE-123;LUZ VERMELHA NÃO ACENDE
DE-124;MANCAL DANIFICADO
DE-125;NÃO LIGA
DE-126;NÚMERO DE SÉRIE EXTERNO DIF COM NÚMERO INTERNO
DE-127;NOBREAK NÃO LIGA UPEX
DE-128;NÚMERO SERIAL COM DÍGITO A MAIS
DE-129;PLACA FTV3000 NÃO LIBERA 5V
DE-130;LEITORA QUEIMANDO CARTÃO
DE-131;RECOLOQUE CARTÃO
DE-132;REGULAGEM DO FOCO DA CÂMERA
DE-133;REINICIANDO
DE-134;SEM OPÇÃO DE FECHAR VIAGEM
DE-135;SETOR DANIFICADO
DE-136;SOLDA FRIA
DE-137;TARJA PRETA
DE-138;TECLADO DANIFICADO
DE-139;SOFTWARE COM VISUALIZAÇÃO INVERTIDA
DE-140;TOUCHSCREEN NÃO ACEITA COMANDO
DE-141;TRILHAS ROMPIDAS
