DATA;ID_CONTRATO;CONTRATO;ID_EQUIPAMENTO;EQUIPAMENTO;ID_OPERADORA;OPERADORA;ID_SERVICO_EXECUTADO;SERVIC_EXECUTADO;QTD_SERVICO
01/06/2012;COT22;Taguatur;EQ35;CCIT 4.0 FRONTAL H2 COM BATERIA;OP82;TAGUATUR;DF41;Envio para manutenção central-CTG;12
01/01/2020;COT20;ROSA TURISMO;EQ36;CCIT 4.0 FRONTAL H1 COM BATERIA;OP66;ROSA TURISMO;DF41;Envio para manutenção central-CTG;1
01/01/2020;COT20;ROSA TURISMO;EQ36;CCIT 4.0 FRONTAL H1 COM BATERIA;OP66;ROSA TURISMO;DF117;Restauração de módulos via PC e/ou SdCard;4
01/01/2020;COT20;ROSA TURISMO;EQ36;CCIT 4.0 FRONTAL H1 COM BATERIA;OP66;ROSA TURISMO;DF132;Subst. Da Bateria de Lithium;5
01/01/2020;COT20;ROSA TURISMO;EQ36;CCIT 4.0 FRONTAL H1 COM BATERIA;OP66;ROSA TURISMO;DF59;Intervenções com Solda;2
01/01/2020;COT1;Transfacil;EQ14;DMX200 MOD H3.1;;;DF35;Defeito não encontrado / testes e liberação;1
01/01/2020;COT1;Transfacil;EQ14;DMX200 MOD H3.1;;;DF37;Defeito não encontrado e subst. FW/SW;12
01/01/2020;COT1;Transfacil;EQ14;DMX200 MOD H3.1;;;DF41;Envio para manutenção central-CTG;52
01/01/2020;COT1;Transfacil;EQ14;DMX200 MOD H3.1;;;DF88;Reparo com formatação e reinst. FW/SW;202
01/01/2020;COT1;Transfacil;EQ14;DMX200 MOD H3.1;;;DF108;Ressolda no circuito da placa-mãe;3
01/01/2020;COT1;Transfacil;EQ14;DMX200 MOD H3.1;;;DF135;Subst. Da Carcaça frontal;1
01/01/2020;COT1;Transfacil;EQ14;DMX200 MOD H3.1;;;DF169;Subst. De Componente eletrônico;11
01/01/2020;COT1;Transfacil;EQ14;DMX200 MOD H3.1;;;DF170;Subst. De Gorila Glass;1
01/01/2020;COT9;SINTRAM SEM DMX200;EQ16;PDM03;OP51;CONSÓRCIO ÓTIMO DE BILHETAGEM ELETRÔNICA ;DF35;Defeito não encontrado / testes e liberação;24
01/01/2020;COT9;SINTRAM SEM DMX200;EQ16;PDM03;OP51;CONSÓRCIO ÓTIMO DE BILHETAGEM ELETRÔNICA ;DF37;Defeito não encontrado e subst. FW/SW;1
01/01/2020;COT9;SINTRAM SEM DMX200;EQ16;PDM03;OP51;CONSÓRCIO ÓTIMO DE BILHETAGEM ELETRÔNICA ;DF86;Reparo com configuração do setup;1
01/01/2020;COT9;SINTRAM SEM DMX200;EQ16;PDM03;OP51;CONSÓRCIO ÓTIMO DE BILHETAGEM ELETRÔNICA ;DF88;Reparo com formatação e reinst. FW/SW;135
01/01/2020;COT9;SINTRAM SEM DMX200;EQ16;PDM03;OP51;CONSÓRCIO ÓTIMO DE BILHETAGEM ELETRÔNICA ;DF209;Subst. Do Display;6
01/01/2020;COT9;SINTRAM COM DMX200;EQ12;DMX200 MOD H3;OP51;CONSÓRCIO ÓTIMO DE BILHETAGEM ELETRÔNICA ;DF37;Defeito não encontrado e subst. FW/SW;6
01/01/2020;COT9;SINTRAM COM DMX200;EQ12;DMX200 MOD H3;OP51;CONSÓRCIO ÓTIMO DE BILHETAGEM ELETRÔNICA ;DF41;Envio para manutenção central-CTG;6
01/01/2020;COT9;SINTRAM COM DMX200;EQ12;DMX200 MOD H3;OP51;CONSÓRCIO ÓTIMO DE BILHETAGEM ELETRÔNICA ;DF88;Reparo com formatação e reinst. FW/SW;32
01/01/2020;COT9;SINTRAM COM DMX200;EQ12;DMX200 MOD H3;OP51;CONSÓRCIO ÓTIMO DE BILHETAGEM ELETRÔNICA ;DF135;Subst. Da Carcaça frontal;1
01/01/2020;COT9;SINTRAM COM DMX200;EQ12;DMX200 MOD H3;OP51;CONSÓRCIO ÓTIMO DE BILHETAGEM ELETRÔNICA ;DF170;Subst. De Gorila Glass;3
01/01/2020;COT9;SINTRAM COM DMX200;EQ12;DMX200 MOD H3;OP51;CONSÓRCIO ÓTIMO DE BILHETAGEM ELETRÔNICA ;DF169;Subst. De Componente eletrônico;1
01/01/2020;COT2;Transcard;EQ16;PDM03;;;DF9;Ajuste e aperto de conexão;4
01/01/2020;COT2;Transcard;EQ16;PDM03;;;DF22;Atualização de pacote;19
01/01/2020;COT2;Transcard;EQ16;PDM03;;;DF41;Envio para manutenção central-CTG;15
01/01/2020;COT2;Transcard;EQ16;PDM03;;;DF125;Subst. Botão on/off;17
01/01/2020;COT19;SÃO JOÃO;EQ39;DMX200L JI21 SEM BATERIA;OP67;SÃO JOÃO;DF41;Envio para manutenção central-CTG;2
01/01/2020;COT19;SÃO JOÃO;EQ39;DMX200L JI21 SEM BATERIA;OP67;SÃO JOÃO;DF97;Ressolda;5
01/01/2020;COT4;Setut;EQ14;DMX200 MOD H3.1;;;DF41;Envio para manutenção central-CTG;5
01/01/2020;COT22;Taguatur PM NOVO;EQ39;DMX200L JI21 SEM BATERIA;OP82;TAGUATUR;DF41;Envio para manutenção central-CTG;10
01/01/2020;COT24;GVBUS;EQ14;DMX200 MOD H3.1;;;DF41;Envio para manutenção central-CTG;200
01/01/2020;COT20;ROSA TURISMO;EQ39;DMX200L JI21 SEM BATERIA;OP66;ROSA TURISMO;DF41;Envio para manutenção central-CTG;2
01/01/2020;COT20;ROSA TURISMO;EQ39;DMX200L JI21 SEM BATERIA;OP66;ROSA TURISMO;DF97;Ressolda;3
01/01/2020;COT1;Transfacil;EQ10;CONNECTION CCIT 4.0;;;DF35;Defeito não encontrado / testes e liberação;2
01/01/2020;COT1;Transfacil;EQ10;CONNECTION CCIT 4.0;;;DF37;Defeito não encontrado e subst. FW/SW;9
01/01/2020;COT1;Transfacil;EQ10;CONNECTION CCIT 4.0;;;DF88;Reparo com formatação e reinst. FW/SW;7
01/01/2020;COT1;Transfacil;EQ10;CONNECTION CCIT 4.0;;;DF102;Ressolda na Placa Connection;1
01/01/2020;COT1;Transfacil;EQ10;CONNECTION CCIT 4.0;;;DF106;Ressolda na Placa Subbase;2
01/01/2020;COT1;Transfacil;EQ10;CONNECTION CCIT 4.0;;;DF169;Subst. De Componente eletrônico;2
01/01/2020;COT2;Transcard;EQ10;CONNECTION CCIT 4.0;;;DF22;Atualização de pacote;19
01/01/2020;COT2;Transcard;EQ10;CONNECTION CCIT 4.0;;;DF41;Envio para manutenção central-CTG;15
01/01/2020;COT2;Transcard;EQ10;CONNECTION CCIT 4.0;;;DF59;Intervenções com Solda;22
01/01/2020;COT10;Metropolitano-Bahia;EQ10;CONNECTION CCIT 4.0;OP64;METROPOLITANO SSA;DF22;Atualização de pacote;6
01/01/2020;COT10;Metropolitano-Bahia;EQ10;CONNECTION CCIT 4.0;OP64;METROPOLITANO SSA;DF41;Envio para manutenção central-CTG;2
01/01/2020;COT10;Metropolitano-Bahia;EQ10;CONNECTION CCIT 4.0;OP64;METROPOLITANO SSA;DF59;Intervenções com Solda;3
01/01/2020;COT19;SÃO JOÃO;EQ10;CONNECTION CCIT 4.0;OP67;SÃO JOÃO;DF22;Atualização de pacote;5
01/01/2020;COT19;SÃO JOÃO;EQ10;CONNECTION CCIT 4.0;OP67;SÃO JOÃO;DF41;Envio para manutenção central-CTG;1
01/01/2020;COT4;Setut;EQ10;CONNECTION CCIT 4.0;;;DF41;Envio para manutenção central-CTG;1
01/01/2020;COT3;TEU;EQ10;CONNECTION CCIT 4.0;;;DF41;Envio para manutenção central-CTG;49
01/01/2020;COT24;GVBUS;EQ10;CONNECTION CCIT 4.0;;;DF41;Envio para manutenção central-CTG;24
01/01/2020;COT20;ROSA TURISMO;EQ10;CONNECTION CCIT 4.0;OP66;ROSA TURISMO;DF22;Atualização de pacote;1
